reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
4fa741b7-03fe-4fe8-b246-3e83e2d750b9,Yin Brebes,https://play-lh.googleusercontent.com/a-/ALV-UjViGDhGwO6KOWGR_TQlv0AXB0auK3dyvZe7GPCVHrbePmx4Pa0,"Dulu By.U cukup stabil, tapi sekarang sering lag, terutama saat main game online. Aneh banget, kalau direkam malah lancar, tapi kalau nggak, justru makin ngelag. Padahal sinyal penuh dan speedtest normal. Saya sudah coba berbagai cara: restart HP, reset jaringan, ubah APN, bahkan pakai HP lain. Hasilnya tetap sama, hanya By.U yang bermasalah. CS juga nggak memberi solusi selain ""cek sinyal dan tunggu."" Tolong perbaiki, kalau tidak, saya terpaksa pindah ke provider lain yang lebih stabil.",1,55,1.61.0,2025-03-30 06:24:47,"Hai kak Yin, Sebelumnya mohon maaf banget, atas kendala yang dialami. Yuk ceritain via DM Instagram @byu.id, Twitter @byu_id atau Live Chat di aplikasi supaya Nindy bisa bantu carikan solusinya. Ditunggu ya, Kak 😊️🙏️",2025-03-30 09:46:55,1.61.0
1afe8f1c-7b6c-463f-95d2-f5868d60355e,Abdillah ANZ,https://play-lh.googleusercontent.com/a/ACg8ocKNo0M9dw-l_sWxZEofrLCvaRMBHzY2bFvsJwLjOGA8ZeC9wQ=mo,"kecewa berat dengan pengalaman saya membeli paket kuota Super kaget 7GB, pembayaran sudah saya selesaikan tapi kuota belum masuk juga, bukti pembayaran sudah saya berikan tetap tidak ada tindakan, sekiranya saya ingin uang saya di kembalikan jikalau menang by. U sedang bermasalah, masalahnya saya sudah 2 kali membeli paket dan masalahnya tetap sama, saya merasa ditipu, saya benar-benar kecewa kepada by. U Bukti transaksi masih saya pegang.",1,148,1.61.0,2025-03-22 12:35:48,"Hi, Kak. Maaf banget jadi bikin gak nyaman. Nindy ingin permasalahan Kakak dapat diselesaikan, mohon Kakak untuk infoin lebih detail kendalanya melalui Live Chat diApps, DM Nindy ke IG @byu.id , Twitter @byu_id, atau Facebook by.U Indonesia. Aku tunggu ya Kak, makasih 🙂🙏🏻💙",2025-03-22 22:14:22,1.61.0
1c5ab17a-deb3-42e7-a3ad-38293130b321,sulastri,https://play-lh.googleusercontent.com/a/ACg8ocKsxNlTbFoY4vOHz-lCEMclSgBJHRcsU4I7kysA4Si4B2H3Hg=mo,"kecewa banget beli kartu by u dulu sulit masalah di registrasi, sekarang sinyalnya jelek parah. gak bisa upload, kirim video pendek, sampe buka aplikasipun gambarnya gak muncul. udah coba chat bantuan di apk by u tapi gak bisa. gak pernah sekecewa ini selama beli kartu lain. semoga bisa jadi bahan perbaikan untuk kedepannya.",1,5,1.61.0,2025-04-06 22:38:45,"Dear Kak Sulastri, maaf banget udah bikin internetan kakak gak nyaman. Boleh dicoba dulu ubah mode jaringan dari otomatis ke manual 2g only, lalu kembalikan lagi ke mode otomatis. ON-kan airplane mode beberapa saat dan OFF-kan kembali. Kalau udah dicoba masih berkendala, kontak  Nindy via Live Chat di aplikasi, serta infoin nomor, lokasi, tangga...",2025-04-07 04:59:59,1.61.0
294b4450-a309-4c57-9fa0-83020da061bd,Adi Rialdi,https://play-lh.googleusercontent.com/a/ACg8ocLcSsmPh0eK1Wkkez-KWKvt5-vlSnTFhsfKd0q4v6K_9Xfyfg=mo,"Sinyal susah !!! Untuk daerah Majalengka kecamatan ligung !!! Sinyal 4G+ tapi buat game , buka tiktok susah nya minta ampun !!! Harga paketan oke cuman kualitas sinyal nya saja yang jelek walaupun tertera 4G+ Dan bar sinyal full !!!",1,2,1.61.0,2025-04-07 11:28:57,"Hi Kak, maaf bikin ga nyaman. Boleh dicoba dulu ubah mode jaringan otomatis ke manual 2G only, lalu kembali lagi ke mode otomatis. Isi APN dengan ""byu"".  Kalau masih kendala, boleh kontak aku via Live Chat apps by.U, email nindy@byu.id, Instagram @byu.id, X @byu_id, dan Facebook @byu.id biar bisa aku bantu carikan solusinya ya. Makasih 😊",2025-04-08 01:50:41,1.61.0
da82c03a-fd4a-40c9-b69e-cf8666f4639e,Lowbudget _444,https://play-lh.googleusercontent.com/a-/ALV-UjX41T9DC9q16moFxwHNpVmcryMBOpWimGOCCQsay5IhbzaQEtQ,"kecewa berat dengan pengalaman saya membeli paket kuota Super kaget 7GB, pembayaran sudah saya selesaikan tapi kuota belum masuk juga, bukti pembayaran sudah saya berikan tetap tidak ada tindakan, sekiranya saya ingin uang saya di kembalikan jikalau memang by. U sedang bermasalah, masalahnya saya sudah 2 kali membeli paket dan masalahnya tetap sama, saya merasa ditipu, saya benar-benar kecewa kepada by. U Bukti transaksi masih saya pegang.",1,202,1.61.0,2025-03-19 04:09:45,"Hi, Kak. Maaf banget jadi bikin gak nyaman. Nindy ingin permasalahan Kakak dapat diselesaikan, mohon Kakak untuk infoin lebih detail kendalanya melalui Live Chat diApps, DM Nindy ke IG @byu.id , Twitter @byu_id, atau Facebook by.U Indonesia. Aku tunggu ya Kak, makasih 🙂🙏🏻💙",2025-03-19 09:40:39,1.61.0
195a4528-1f7f-4d6a-8f60-c0bd5f917408,Jatz_2263,https://play-lh.googleusercontent.com/a-/ALV-UjVbH3VTTK_Nkr8ApR9EUmL4WMeqb5wX0Zmh118ZK-g28P0Z6-Z_,"over all bagus sih mulai dri sinyal, pilihan kuota, promonya, dan masih banyak lagi cuma ada satu nih yg masih kurang, di mode ""dark mode"" nya masih belum optimal, soalnya pas di beberapa menu buat pembelian kuota sama menu detail kuota background nya putih trus tulisan nya juga putih kan jadi enggak keliatan sisa kuota yg kita pake tinggal brp",5,235,1.61.0,2025-03-21 00:05:09,,,1.61.0
b6faca31-de72-4734-9ee4-1f4f728684ea,rizal maharruddin,https://play-lh.googleusercontent.com/a-/ALV-UjVbDLazd4oEGFFHCNS2Ao21cF5AN_DgXB6g9Ih-UpR476byvueK,Mengecewakan.. Beli kuota 7 Gb pembayaran sudah terselesaikan tapi nggak ada konfirmasi masuk. Dicoba lagi melakukan pembayaran kedua kalinya masuk kuotanya. tetapi status pembayaran yg pertama jadi nggak jelas. sudah coba komplain ke CS tapi mengecewakan responnya. lebih baik pindah ke provider lain..,1,29,1.61.0,2025-03-25 15:51:46,"Hi, Kak. Maaf banget jadi bikin gak nyaman. Nindy ingin permasalahan Kakak dapat diselesaikan, mohon Kakak untuk infoin lebih detail kendalanya melalui Live Chat diApps, DM Nindy ke IG @byu.id , Twitter @byu_id, atau Facebook by.U Indonesia. Aku tunggu ya Kak, makasih 🙂🙏🏻💙",2025-03-26 00:23:12,1.61.0
05306259-7a12-4ef4-b41b-2ce9601a38fc,Andika Saputra,https://play-lh.googleusercontent.com/a-/ALV-UjVz5qv1Ghl9TgkWX2PRAuAPgiq6zHm2Qh5JI0srvCQM41lha1g,"Pengalaman saya memakai by.U sangat buruk, sinyal sering tiba tiba hilang saat sedang bermain dan itu sangat memganggu sekali.Semakin lama kualitas sinyal by.U semakin buruk tidak seperti yang dulu",1,3,1.61.0,2025-04-06 17:42:22,"Hi, Kak. Maaf banget jadi bikin gak nyaman. Nindy ingin permasalahan Kakak dapat diselesaikan, mohon Kakak untuk infoin lebih detail kendalanya melalui Live Chat diApps, DM Nindy ke IG @byu.id , Twitter @byu_id, atau Facebook by.U Indonesia. Aku tunggu ya Kak, makasih 🙂🙏🏻💙",2025-04-06 21:08:30,1.61.0
7d3e9fc3-5372-444f-8cc3-97fffb535774,Anggriyani 61,https://play-lh.googleusercontent.com/a-/ALV-UjWoLxpGzlEUrK5OtjYCoWpPrbIKxjkC9Mle361lHG9Oyh1wYfc,"Aplikasinya lemot banget. pas buka cuma tampilan cover doang lama.ngga ada menunya. Pas daftar pake Gmail, lemot abis pas pakai sosmed daftarnya, dia minta kode verifikasi yg dikirim ke email. pas buka email, terus masuk ke aplikasi lagi, malah harus dari awal ngisinya lagi. saya lihat di ulasan ini banyak yg komen Apalikasinya jelek. Kok ngga ada tindakan perbaikan gitu ? Saya pertama pake byu ini, tapi habis kesabaran saya cuma gegera registrasi doang.",1,17,1.61.0,2025-03-30 06:25:35,"Dear, Kak Anggriyani. Maaf banget huhu udah buat ga nyaman. Yuk cobain dulu restart hp, hapus data cache dan data aplikasi, uninstall dan install aplikasi kembali, coba ON-OFF kan airplane mode, pastiin OS hp udah paling update dan memory hp mencukupi. Kalau masih ga bisa, kasih tau email, nomor, versi hp dan capture error ke DM Instagram @byu.i...",2025-03-30 06:56:42,1.61.0
7886cc5d-5808-4990-97e6-5ac90fa0a97d,Daniel Bolung,https://play-lh.googleusercontent.com/a-/ALV-UjU7dC9wc3oBQU-Fcs6wKEk969xwYf5jOFU1D8TecpTtMgKIZ1JF,"ini banyak update Tpi selalu punya trouble yg sama.masalah server lah,apk nge bug lah (ga bisa nunjukkin sisa pulsa/saldo),susah ke buka lah.padahal isi Kouta cuman bisa lewat sini,malah jdi susah karena kalau urgent ga bisa diandelin di apk",1,8,1.61.0,2025-04-03 02:39:03,"Hai Kak, maaf ya udah bikin ga nyaman ya.Terkait kendala di aplikasi by.U nya, bisa coba clear cache aplikasi by.U pada settingan aplikasi di HP kakak dan kalau masih berkendala, bisa install ulang aplikasi by.U nya. Kakak juga bisa kabarin Nindy di DM IG @byu.id (http://byu.id/) dan LiveChat di aplikasi by.U ya Kak. Thanks :)",2025-04-03 04:46:56,1.61.0
